Dimension,Lower bound,Upper bound
1,2,2
2,6,6
3,12,12
4,24,24
5,40,44
6,72,77
7,126,134
8,240,240
9,306,363
10,510,553
11,593,868
12,840,1355
13,1154,2064
14,1932,3174
15,2564,4853
16,4320,7320
17,5730,10978
18,7654,16406
19,11692,24417
20,19448,36195
21,29768,53524
22,49896,80810
23,93150,122351
24,196560,196560
25,197056,265006
26,198550,367775
27,200044,522212
28,204520,752292
29,209496,1075991
30,220440,1537707
31,238078,2213487
32,345408,3162316
33,360640,4494570
34,380868,6422593
35,409548,9162403
36,484568,13017098
37,494312,18498316
38,566652,26496684
39,755988,37826766
40,1064368,53589200
41,1170384,76287040
42,1250676,108404055
43,1745692,153813582
44,2948552,220788272
45,3047160,316735249
46,5318060,441900184
47,9741412,621658419
48,52416000,867897072
